what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843061987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843084482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843093640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843159400
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1485843161073
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1485843227122
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1485843228078
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1485843229034
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1485843233330
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485843306158
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1485843315139
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1485843316709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843320516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843432683
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1485843432686
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485843439547
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1485843441889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843444258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843543662
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1485843543666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843545635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843550507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843550632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843558022
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843574004
executed,command,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project.commands.quartus",1485843579543
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1485843579650
executed,command,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project.commands.quartus",1485843585016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843585119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843638924
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485843638956
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1485843639967
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1485843643069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843648739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843653410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843654308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843655330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843655932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843671923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843672926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843674144
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485843674703
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1485843677857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843678234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485843724569
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1485843731187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1485843734353
